key	en	es
resume_description_3_1	"Junior Programmer for the ""Programa por puntos"" (PxP) and accident program (ARENA) for DGT (Dirección General de Tráfico)"	"Programador Junior de los programas ""Programa por puntos"" (PxP) y programa de accidentes (ARENA) para DGT (Dirección General de Tráfico)"
resume_description_3_2	Java/JSP and OracleSQL for projects related to DGT. Angular for support tools	Java/JSP y OracleSQL para proyectos relacionados con DGT. Angular para herramientas de apoyo
resume_item_2	April 2019 - June 2019	Abril 2019 - Junio 2019
resume_title_2	Intern	Estudiante en prácticas
resume_description_2_1	Development of a smart car key storage system. Enabling automatic opening via app	Desarrollo de un sistema de almacenamiento de llaves de automoviles inteligentes. Que permiten la apertura automática mediante app
resume_description_2_2	Java/Angular	Java/Angular
resume_description_2_3	Developer and Functional Tester	Desarrollador y Tester funcional
resume_company_2	CreamTeam GmbH	CreamTeam GmbH
resume_item_1	2013-2020	2013-2020
resume_title_1	Farm Labourer	Trabajador agrícola
resume_desciption_1_1	Various tasks in the world of agriculture at different time periods	Tareas varias en el mundo de la agricultura en diferentes intervalos de tiempo
education_item_2	November 2020 - Present	 Noviembre 2020 - Actualidad
education_description_2_1	Master in Computer Graphics, Videogames and Virtual Reality	Master en Informática Gráfica, Videojuegos y Realidad Virtual
education_school_2_1	University Rey Juan Carlos I	Universidad Rey Juan Carlos I
education_item_1	September 2015 - December 2019	Septiembre 2015 - Diciembre 2019
education_description_1_1	Degree in Computer Engineering	Grado en Ingeniería Informática
education_description_1_2	Computer Science Speciality	Especialidad en Computación
education_school_1_1	University of Castilla-La Mancha	Universidad de Castilla-La Mancha
volunteer_item_4	September 2017 - Present	Septiembre 2017 - Actualidad
volunteer_title_4	Organizer Albanime	Organizador Albanime
volunteer_description_4_1	Albacete Manga, Anime and Alternative Leisure Fair	Salon del manga, anime y ocio alternativo de Albacete
volunteer_item_3	January 2018 - Present	Enero 2018 - Actualidad
volunteer_title_3	Partner Nexus Outsiders	Socio Nexus Outsiders
volunteer_description_3_1	Organisation promoting alternative leisure activities in Albacete	Organización promotora del ocio alternativo en Albacete
volunteer_item_2	September 2017 - July 2019	Septiembre 2017 - Julio 2019
volunteer_title_2	Student Mentor	Mentor de estudiantes
volunteer_description_2_1	Mentor of first and second year students of the Computer Engineering degree in Albacete.	Mentor de estudiantes del primer y segundo curso del grado de Ingeniería Informática de Albacete
volunteer_item_1	March 2019	Marzo 2019
volunteer_title_1	Volunteer organiser	Voluntario organizador
volunteer_description_1_1	Volunteer organiser of the X Meeting of Students of Technical and Higher Engineering in Computer Science (RITSI)	Voluntario organizador del X Congreso Encuentro de Estudiantes de Ingeniería Técnica y Superior en Informática (RITSI)
education_tag	Education	Educación
volunteer_tag	Volunteer	Voluntariado
aboutme_tag	About Me	Sobre Mi
aboutme_resume	Freak, enthusiast, animal lover, video game lover,... and in search of adventure.	Friki, entusiasta, amante de los animales, de los videojuegos,... y en busca de aventuras
aboutme_text	I am a computer engineer specialised in BackEnd programming, but with great fluency in any kind of programming. He trabajado en diversos proyectos y ramas de la ingeniería que me han transformado en un mejor profesional. My specialities are videogames and haptic devices, thanks to the projects during all my educational stage, and the development of railway systems and Safety, por el desarrollo de estos sistemas durante más de 2 años	Soy un ingeniero informático especializado en programación BackEnd, pero con gran soltura en cualquier tipo de programación. He trabajado en diversos proyectos y ramas de la ingeniería que me han transformado en un mejor profesional. Mis especialidades son los videojuegos y dispositivos hápticos, gracias a los proyectos durante toda mi etapa educativa, y el desarrollo de sistemas ferroviarios y Safety, por el desarrollo de estos sistemas durante más de 2 años
contactme_tag	Contact Me	Contacta Conmigo
contactme_sendme	Send me an email	Mandame un email
contactme_contact	Contact	Contacto
contactme_yourname	Your Name	Tu Nombre
contactme_youremail	Your Email	Tu Email
contactme_yourphone	Your Phone	Tu Teléfono
contactme_message	Message	Mensaje
contactme_email	Email	Email
contactme_address	Address	Dirección
contactme_send	Send Message	Enviar Mensaje
contactme_currentemail	ogmonedero@gmail.com	ogmonedero@gmail.com
contactme_currentlocation	Madrid, Spain	 Madrid, España
